Date,To win,To lose,Close
2013-09-19,100155.17171828207,99547.0117885497,
2013-09-20,101362.79719158051,98118.55016685491,
2013-09-23,102466.97431877247,97416.33995256202,
2013-09-24,103142.22131982149,97369.46588979644,
2013-09-25,103589.77513974029,97024.2151968329,
2013-09-26,103410.67557077715,96782.27939093419,
2013-09-27,103243.72038609121,96903.64648866531,
2013-09-30,103173.30341900997,97018.56830922942,
2013-10-01,103154.93251018057,97118.31107655443,
2013-10-02,102910.50088208207,97124.95822692694,
2013-10-03,102471.84275513612,97518.00323793884,
2013-10-04,102588.64937635098,97428.23173698082,
2013-10-07,102529.78849027828,96974.44822371652,
2013-10-08,102821.24750553556,95484.22956079635,
2013-10-09,103110.56576644038,95678.61433570448,
2013-10-10,104727.6338415473,94464.95338248258,
2013-10-11,104619.46992683869,93812.3055939967,
2013-10-14,104760.59844954664,93873.90788207608,
2013-10-15,104253.3262260704,93560.53839609184,
2013-10-16,103420.7298370512,93677.3273575442,
2013-10-17,104242.60126001178,92689.13210983653,
2013-10-18,104536.68073270084,92406.43011749689,
2013-10-21,104878.25481747478,92505.42510190788,
2013-10-22,105344.170799944,92417.71457717166,
2013-10-23,105714.77213253133,91364.11729998316,
2013-10-24,106754.20457722769,91483.38131680342,
2013-10-25,107116.14897802306,91615.14634428527,
2013-10-28,107402.5630850901,91773.7245957345,
2013-10-29,108905.78501370133,90812.37585261436,
2013-10-30,109885.3366715091,91482.41952162154,
2013-10-31,108728.10090971887,90969.91120795075,
2013-11-01,107731.47370450171,91027.01872256472,
2013-11-04,107885.92349161979,91350.7455274982,
2013-11-05,107961.57480311142,91490.1052890546,
2013-11-06,107816.15898222651,91392.95147346455,
2013-11-07,107354.8857060069,90911.65137359287,
2013-11-08,107504.88490693171,91413.83817620778,
2013-11-11,108088.67215707689,91132.40037965323,
2013-11-12,108064.81725364506,91514.5596989962,
2013-11-13,107257.78745845519,91042.76562523072,
2013-11-14,107422.55774509162,90891.22603315098,
2013-11-15,107416.52035069013,90731.87801791204,
2013-11-18,107777.05121590209,90488.24398649944,
2013-11-19,107969.81373069508,90598.27905832286,
2013-11-20,108658.92894105864,90482.3154863502,
2013-11-21,109398.47035758279,91130.22444979347,
2013-11-22,109851.30769164354,91037.53001581228,
2013-11-25,110010.87187891154,91354.14256179667,
2013-11-26,109990.26177373531,91651.277745159,
2013-11-27,110603.9674755549,92241.64710608832,
2013-11-29,110724.94996576915,92359.01791288945,
2013-12-02,111113.26818613951,92591.96924290856,
2013-12-03,111852.4253533259,94064.80007853659,
2013-12-04,111988.53172884435,94435.09073224191,
2013-12-05,112392.04810192919,94179.45655567752,
2013-12-06,113237.92733856742,93624.58786511674,
2013-12-09,113655.183357384,93703.95478409296,
2013-12-10,114032.77021711915,93637.18684873614,
2013-12-11,114454.25936524502,93808.32470421659,
